Somersault Kick > Crossfire Somersault (~5800 damage, 3 super art gauge, 0.0 drive gauge)
Drive Impact (Punish Counter) > Phantom Cutter > Somersault Kick > Crossfire Somersault (~5720 damage, 3 super art gauge, 0.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Somersault Kick > Crossfire Somersault (~5660 damage, 3 super art gauge, 0.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick > Crossfire Somersault (~5653 damage, 3 super art gauge, 6.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick > Crossfire Somersault (~5610 damage, 3 super art gauge, 6.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot > Somersault Kick > Crossfire Somersault (~5602 damage, 3 super art gauge, 6.0 drive gauge)
Phantom Cutter > Somersault Kick > Crossfire Somersault (~5600 damage, 3 super art gauge, 0.0 drive gauge)
Crouching Medium Punch > Somersault Kick > Crossfire Somersault (~5600 damage, 3 super art gauge, 0.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick > Crossfire Somersault (~5585 damage, 3 super art gauge, 6.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick > Crossfire Somersault (~5585 damage, 3 super art gauge, 6.0 drive gauge)
Jumping Heavy Kick > Double Shot > Somersault Kick > Crossfire Somersault (~5540 damage, 3 super art gauge, 0.0 drive gauge)
