Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Double Shot > Somersault Kick > Crossfire Somersault (~7008.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Double Shot > Somersault Kick > Crossfire Somersault (~7008.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick > Crossfire Somersault (~7000.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick > Crossfire Somersault (~7000.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick > Crossfire Somersault (~7000.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick > Crossfire Somersault (~7000.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick > Crossfire Somersault (~6952.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick > Crossfire Somersault (~6952.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick > Crossfire Somersault (~6952.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick > Crossfire Somersault (~6952.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Double Shot > Somersault Kick > Crossfire Somersault (~6932.0 damage, 3 super art gauge, 3.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick > Crossfire Somersault (~6880.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick > Crossfire Somersault (~6880.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick > Crossfire Somersault (~6880.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick > Crossfire Somersault (~6880.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick > Crossfire Somersault (~6800.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick > Crossfire Somersault (~6800.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick > Crossfire Somersault (~6800.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick > Crossfire Somersault (~6800.0 damage, 3 super art gauge, 6.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Double Shot > Somersault Kick > Crossfire Somersault (~6772.0 damage, 3 super art gauge, 6.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Double Shot > Somersault Kick > Crossfire Somersault (~6772.0 damage, 3 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick > Crossfire Somersault (~6740.0 damage, 3 super art gauge, 3.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick > Crossfire Somersault (~6740.0 damage, 3 super art gauge, 3.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick > Crossfire Somersault (~6736.0 damage, 3 super art gauge, 6.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick > Crossfire Somersault (~6736.0 damage, 3 super art gauge, 6.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick > Crossfire Somersault (~6736.0 damage, 3 super art gauge, 6.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick > Crossfire Somersault (~6736.0 damage, 3 super art gauge, 6.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick > Crossfire Somersault (~6730.0 damage, 3 super art gauge, 6.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick > Crossfire Somersault (~6730.0 damage, 3 super art gauge, 6.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick > Crossfire Somersault (~6730.0 damage, 3 super art gauge, 6.0 drive gauge)
